/////////////////////////////////////////////////////////
// Map name       Eagles 2 Ways B1                     //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
3137 -2258 1154 "Krankenhaus"
2890 -2239 1154 @
3137 -1872 1154 @
2929 -2037 1344 @
2298 -3382 1111 "Near The Krankenhaus"
2714 -3146 1111 @
2881 -2708 1111 @
3124 -2347 1136 @
2870 -2357 1111 @
3277 -2451 1111 @
2863 -737 1108 "Near The Wooden Bridge"
3746 -109 1111 @
3155 -1740 1111 @
2871 -1721 1111 @
2720 -1142 1111 @
2610 -832 1111 @
2587 1198 1111 "Oberhausen Airfield"
3097 1198 1111 @
3218 1083 1111 @
3225 818 1111 @
3667 632 1112 @
4298 1394 1111 @
1625 1217 1111 @
2100 1205 1111 @
2160 1480 1111 @
2170 1760 1111 @
2417 1950 1111 @
2450 2823 1120 @
1599 4554 1116 @
3925 4139 1111 @
3909 3067 968 @
1850 1729 1472 @
2011 1404 1472 @
1547 1410 1472 @
2048 2164 1664 @
2332 1954 1664 @
2106 1954 1664 @
-2301 -1633 1111 "Outside Bus Garage"
-2554 -1801 1111 @
-2347 -1972 1111 @
-2331 -2398 1120 @
-2275 -2470 1111 @
-1613 -2486 1111 @
-1497 -2393 1111 @
-1507 -1973 1111 @
-1580 -1879 1111 @
-1871 -1853 1111 @
-1271 -1610 1111 @
-977 -2210 1111 @
-939 -2710 1111 @
-1599 -3355 1111 @
-2723 -3702 1120 @
-2658 -3360 1195 @
-1113 -3342 1111 @
-1684 -3208 1111 @
-1915 -3196 1111 @
-1999 -3312 1111 @
-2018 -3618 1111 @
2532 1069 1111 "Outside The Airfield"
3082 1091 1111 @
3078 814 1111 @
3235 684 1111 @
2727 187 1111 @
2364 62 1111 @
2127 -86 1111 @
1575 -219 1111 @
1618 1086 1111 @
2104 1098 1111 @
2005 -772 770 "Pier"
1987 -1300 984 @
-4272 238 993 "River"
-3778 35 961 @
-3422 -297 999 @
-3116 -739 1010 @
-2651 -1071 995 @
-2256 -1136 963 @
-1792 -1164 976 @
-1263 -1182 902 @
-839 -1282 677 @
-584 -1901 727 @
-203 -2721 732 @
644 -3026 716 @
1372 -2806 737 @
1899 -2496 727 @
1847 -1885 719 @
1759 -1322 713 @
1784 -644 732 @
2412 -432 728 @
2883 -455 725 @
3318 97 706 @
3723 465 727 @
4353 687 728 @
2028 -469 718 @
1455 -694 882 "River Ramp"
2615 -2814 1111 "Road MG"
-826 -2998 1111 "Road To Airfield"
-553 -3383 1111 @
169 -3609 1111 @
1388 -3573 1111 @
1928 -3209 1111 @
2287 -2654 1111 @
2610 -2251 1111 @
2483 -1702 1111 @
2365 -974 1111 @
2418 -1372 1111 @
2772 -2265 1111 @
2774 -1940 1111 @
2037 -2495 776 "Sewers"
2881 -2493 776 @
2877 -2653 942 @
2880 -1663 776 @
2880 -568 776 @
2880 -1098 776 @
-238 -501 2491 "Sniper Spot"
-107 -341 1129 "Sniper Spot Elevator"
-107 -341 2304 @
-273 -316 1104 "Sniper Spot Entrance"
-704 -317 1104 @
-3355 1261 1272 "Town Tram Station"
-3350 1022 1272 @
-3444 855 1216 @
-3784 1237 1272 @
-3801 834 1272 @
-3703 860 1216 @
-1409 1904 1360 "Town Walls"
-751 1862 1360 @
-963 1714 1248 @
-882 1477 1360 @
-1741 1898 1360 "Town Walls Corridor"
-2205 1683 1360 @
-3589 -1334 1671 "Tram"
-3595 -669 1491 @
-3579 10 1380 @
-3578 571 1298 @
-4488 3113 1992 "Tunnel"
-4483 2499 1728 @
-4479 3379 2281 "Tunnel Entrance"
-4481 2297 1600 "Tunnel Exit"
-4326 1797 1195 @
2363 -642 898 "Under The Wooden Bridge"
-4142 -230 1108 "Underneath The Castle"
-3753 -520 1111 @
-3337 -979 1111 @
-2599 -1608 1111 @
-3606 -1600 1150 @
-4054 -1128 1133 @
-2867 -161 1111 "Werfen Village"
-2699 -12 1111 @
-2913 359 1128 @
-2669 444 1116 @
-2312 649 1111 @
-1906 629 1111 @
-2264 1135 1111 @
-2511 1241 1111 @
-2773 1274 1272 @
-2772 993 1128 @
-3212 911 1111 @
-2911 683 1111 @
-3056 -40 1100 @
-3571 573 1111 @
-3439 756 1111 @
-3711 758 1111 @
-3948 906 1111 @
-1934 1322 1344 @
-1589 1338 1358 @
-1222 1343 1354 @
-1827 1084 1111 @
-2006 1553 1248 @
-1727 1796 1157 @
-1410 1834 1168 @
-1071 1693 1116 @
-1017 1435 1112 @
-874 922 1600 @
-1244 645 1635 @
-813 -220 1344 @
-1274 81 1407 @
-1240 -697 1104 @
-943 -679 1111 @
-2315 -708 1111 @
-2116 425 1624 @
-2194 1300 1622 @
-2827 993 1418 @
-3181 1298 1440 @
-3181 1009 1440 @
-3603 842 1520 @
-3832 845 1520 @
-3848 1323 1596 @
-3856 1710 1418 @
-3350 1712 1417 @
-2851 1388 1111 @
-3231 1387 1112 @
-1854 -701 1111 @
-2307 -837 1112 "Werfen Village Bridges"
-2308 -1133 1112 @
-2305 -1474 1112 @
-1251 -849 1104 @
-1254 -1131 1104 @
-1246 -1468 1104 @
2367 -780 1112 "Wooden Bridge"
2360 -76 1112 @
