/////////////////////////////////////////////////////////
// Map name       Castle Attack                        //
// Locations by   antman                               //
// Modified by    antman                               //
// Recommended    b_locationMaxChars 25                //
// Last edited    28-05-2006                           //
// http://www.antman.info/wolf/etpro/locations/        //
/////////////////////////////////////////////////////////
1034 3186 296 @
833 3378 296 @
1059 3533 296 @
1245 3377 296 @
1287 2142 96 @
2807 2889 474 @
3860 -1139 968 "East Hills"
3884 89 1224 @
-2353 1907 832 "Health and Ammo Cabinets"
3966 2348 1504 "Inner Castle Walls"
3961 3516 1568 @
2755 2943 880 "Memorial"
-3258 861 1545 "North-West Hills"
-3401 1799 1654 @
-3623 2690 1655 @
-3231 3428 1701 @
-1754 3644 1684 @
-2479 3952 1679 @
-3720 3498 1707 @
-3893 3424 1680 @
-3733 3397 1696 "North-West Hut"
-3712 3311 1552 @
-3724 3405 1294 "North-West Hut Ladder"
-3723 3405 273 @
1502 1827 1472 "Outer Castle Walls"
926 1849 1472 @
57 1644 1472 @
-459 2678 1472 @
-92 2318 1472 @
463 2112 1472 @
438 3716 1008 "Outer Castle Yard"
664 3752 1008 @
1165 3747 1008 @
1553 3574 992 @
1373 3021 832 @
1221 2359 840 @
1232 2091 840 @
627 2056 842 @
292 2431 836 @
105 2750 768 @
1687 2418 840 @
1084 2824 248 "Radio Parts"
-181 -297 408 "Radio Parts Drop Off"
-2358 2755 1003 "Ruins"
-2080 2304 997 @
-2308 2066 891 @
-2836 2115 1107 @
-1772 3390 1328 @
1065 3384 264 "Secret Documents"
1284 2265 96 "Sewer Tunnels"
-761 2318 137 @
-1296 2618 137 @
-1333 2088 140 @
-3132 2634 137 @
-3159 3341 137 @
-3912 3074 96 @
-3722 3351 96 @
-1821 -3800 980 "South Hills"
-387 -3751 1000 @
929 -3828 1043 @
1500 -3795 945 @
2150 -3741 931 "South-East Hills"
3376 -3167 1218 @
3771 -2094 1059 @
-3590 -484 1204 "South-West Hills"
-3845 -2086 1228 @
-3149 -3795 1058 @
3148 3957 816 "Stairs to Dungeons"
3194 3824 288 @
3795 1986 824 @
3706 1886 760 @
3794 2020 328 @
-2735 1249 813 "Tunnel"
-2311 1722 832 @
-2524 1949 832 @
-2830 -250 592 @
-2421 -403 592 @
-3564 1241 811 @
-2819 -582 578 "Tunnel Doors #1"
-2545 -597 578 @
-2582 -177 960 "Tunnel Doors Roof"
-2866 -494 1016 @
-2409 -374 832 @
-2479 -165 1104 @
-3229 -468 1016 @
-2838 1976 1128 "Tunnel Exit Roof"
-2343 1968 1128 @
-2296 1716 1128 @
-2748 1241 1112 @
3120 -454 192 "Village"
3121 -113 192 @
2498 243 192 @
2371 339 192 @
2020 364 192 @
1642 333 192 @
1543 223 192 @
1546 -202 192 @
1546 -725 192 @
1673 -811 192 @
1803 -1071 192 @
2006 -1214 192 @
2247 -1075 192 @
2388 -818 192 @
2502 -700 192 @
2498 -284 192 @
3115 -868 192 @
2678 -2642 384 @
2020 -2788 384 @
987 -2765 384 @
-279 -2599 320 @
-345 -487 404 @
-156 -475 404 @
13 -269 394 @
-241 -151 384 @
-412 -159 384 @
671 -798 208 @
-516 -1978 361 @
550 -1185 355 @
1195 -1775 253 @
3237 -827 16 "Village Catacombs"
3820 -812 16 @
3706 1 24 @
3427 848 68 @
520 -798 217 @
150 -765 217 @
-528 -253 217 @
-1079 -249 217 @
-1098 910 217 @
-932 921 217 @
-2766 -972 537 "Village Road"
-2336 -2583 497 @
-767 -2352 369 @
